"pk_trainers_id","fk_games_id","fk_trainer_types_id","short_name","long_name"
1,2,1,Agatha,Agatha - Indigo Plateau (Blue)
713,3,1,Agatha,Agatha - Indigo Plateau (Yellow)
357,1,1,Agatha,Agatha - Indigo Plateau (Red)
5,2,2,Beauty 4,Beauty - Route 13 (Blue)
12,2,2,Beauty 11,Beauty - Route 20 (Blue)
362,1,2,Beauty 5,Beauty - Route 13 (Red)
363,1,2,Beauty 6,Beauty - Route 15 (Red)
715,3,2,Beauty 2,Beauty - Celadon City (Yellow)
722,3,2,Beauty 9,Beauty - Route 19 (Yellow)
368,1,2,Beauty 11,Beauty - Route 20 (Red)
366,1,2,Beauty 9,Beauty - Route 19 (Red)
6,2,2,Beauty 5,Beauty - Route 13 (Blue)
719,3,2,Beauty 6,Beauty - Route 15 (Yellow)
365,1,2,Beauty 8,Beauty - Route 19 (Red)
15,2,2,Beauty 14,Beauty - Route 20 (Blue)
726,3,2,Beauty 13,Beauty - Route 20 (Yellow)
11,2,2,Beauty 10,Beauty - Route 19 (Blue)
723,3,2,Beauty 10,Beauty - Route 19 (Yellow)
13,2,2,Beauty 12,Beauty - Route 20 (Blue)
371,1,2,Beauty 14,Beauty - Route 20 (Red)
4,2,2,Beauty 3,Beauty - Celadon City (Blue)
3,2,2,Beauty 2,Beauty - Celadon City (Blue)
370,1,2,Beauty 13,Beauty - Route 20 (Red)
720,3,2,Beauty 7,Beauty - Route 15 (Yellow)
718,3,2,Beauty 5,Beauty - Route 13 (Yellow)
359,1,2,Beauty 2,Beauty - Celadon City (Red)
364,1,2,Beauty 7,Beauty - Route 15 (Red)
361,1,2,Beauty 4,Beauty - Route 13 (Red)
724,3,2,Beauty 11,Beauty - Route 20 (Yellow)
721,3,2,Beauty 8,Beauty - Route 19 (Yellow)
360,1,2,Beauty 3,Beauty - Celadon City (Red)
717,3,2,Beauty 4,Beauty - Route 13 (Yellow)
7,2,2,Beauty 6,Beauty - Route 15 (Blue)
725,3,2,Beauty 12,Beauty - Route 20 (Yellow)
14,2,2,Beauty 13,Beauty - Route 20 (Blue)
9,2,2,Beauty 8,Beauty - Route 19 (Blue)
716,3,2,Beauty 3,Beauty - Celadon City (Yellow)
8,2,2,Beauty 7,Beauty - Route 15 (Blue)
369,1,2,Beauty 12,Beauty - Route 20 (Red)
2,2,2,Beauty 1,Beauty - Celadon City (Blue)
358,1,2,Beauty 1,Beauty - Celadon City (Red)
10,2,2,Beauty 9,Beauty - Route 19 (Blue)
714,3,2,Beauty 1,Beauty - Celadon City (Yellow)
367,1,2,Beauty 10,Beauty - Route 19 (Red)
727,3,2,Beauty 14,Beauty - Route 20 (Yellow)
21,2,3,Biker 6,Biker - Route 15 (Blue)
22,2,3,Biker 7,Biker - Route 15 (Blue)
737,3,3,Biker 10,Biker - Route 16 (Yellow)
739,3,3,Biker 12,Biker - Route 17 (Yellow)
740,3,3,Biker 13,Biker - Route 17 (Yellow)
730,3,3,Biker 3,Biker - Route 14 (Yellow)
23,2,3,Biker 8,Biker - Route 16 (Blue)
16,2,3,Biker 1,Biker - Route 13 (Blue)
20,2,3,Biker 5,Biker - Route 14 (Blue)
731,3,3,Biker 4,Biker - Route 14 (Yellow)
373,1,3,Biker 2,Biker - Route 14 (Red)
732,3,3,Biker 5,Biker - Route 14 (Yellow)
729,3,3,Biker 2,Biker - Route 14 (Yellow)
379,1,3,Biker 8,Biker - Route 16 (Red)
26,2,3,Biker 11,Biker - Route 17 (Blue)
385,1,3,Biker 14,Biker - Route 17 (Red)
24,2,3,Biker 9,Biker - Route 16 (Blue)
381,1,3,Biker 10,Biker - Route 16 (Red)
383,1,3,Biker 12,Biker - Route 17 (Red)
30,2,3,Biker 15,Biker - Route 17 (Blue)
735,3,3,Biker 8,Biker - Route 16 (Yellow)
375,1,3,Biker 4,Biker - Route 14 (Red)
27,2,3,Biker 12,Biker - Route 17 (Blue)
378,1,3,Biker 7,Biker - Route 15 (Red)
738,3,3,Biker 11,Biker - Route 17 (Yellow)
728,3,3,Biker 1,Biker - Route 13 (Yellow)
28,2,3,Biker 13,Biker - Route 17 (Blue)
733,3,3,Biker 6,Biker - Route 15 (Yellow)
742,3,3,Biker 15,Biker - Route 17 (Yellow)
736,3,3,Biker 9,Biker - Route 16 (Yellow)
380,1,3,Biker 9,Biker - Route 16 (Red)
18,2,3,Biker 3,Biker - Route 14 (Blue)
25,2,3,Biker 10,Biker - Route 16 (Blue)
377,1,3,Biker 6,Biker - Route 15 (Red)
382,1,3,Biker 11,Biker - Route 17 (Red)
372,1,3,Biker 1,Biker - Route 13 (Red)
386,1,3,Biker 15,Biker - Route 17 (Red)
19,2,3,Biker 4,Biker - Route 14 (Blue)
29,2,3,Biker 14,Biker - Route 17 (Blue)
734,3,3,Biker 7,Biker - Route 15 (Yellow)
17,2,3,Biker 2,Biker - Route 14 (Blue)
374,1,3,Biker 3,Biker - Route 14 (Red)
384,1,3,Biker 13,Biker - Route 17 (Red)
376,1,3,Biker 5,Biker - Route 14 (Red)
741,3,3,Biker 14,Biker - Route 17 (Yellow)
33,2,4,Bird Keeper 3,Bird Keeper - Route 13 (Blue)
38,2,4,Bird Keeper 8,Bird Keeper - Route 14 (Blue)
32,2,4,Bird Keeper 2,Bird Keeper - Route 13 (Blue)
401,1,4,Bird Keeper 15,Bird Keeper - Route 20 (Red)
391,1,4,Bird Keeper 5,Bird Keeper - Route 14 (Red)
400,1,4,Bird Keeper 14,Bird Keeper - Route 18 (Red)
40,2,4,Bird Keeper 10,Bird Keeper - Route 15 (Blue)
743,3,4,Bird Keeper 1,Bird Keeper - Route 13 (Yellow)
396,1,4,Bird Keeper 10,Bird Keeper - Route 15 (Red)
44,2,4,Bird Keeper 14,Bird Keeper - Route 18 (Blue)
747,3,4,Bird Keeper 5,Bird Keeper - Route 14 (Yellow)
397,1,4,Bird Keeper 11,Bird Keeper - Route 15 (Red)
754,3,4,Bird Keeper 12,Bird Keeper - Route 18 (Yellow)
394,1,4,Bird Keeper 8,Bird Keeper - Route 14 (Red)
389,1,4,Bird Keeper 3,Bird Keeper - Route 13 (Red)
756,3,4,Bird Keeper 14,Bird Keeper - Route 18 (Yellow)
45,2,4,Bird Keeper 15,Bird Keeper - Route 20 (Blue)
42,2,4,Bird Keeper 12,Bird Keeper - Route 18 (Blue)
387,1,4,Bird Keeper 1,Bird Keeper - Route 13 (Red)
43,2,4,Bird Keeper 13,Bird Keeper - Route 18 (Blue)
388,1,4,Bird Keeper 2,Bird Keeper - Route 13 (Red)
390,1,4,Bird Keeper 4,Bird Keeper - Route 14 (Red)
37,2,4,Bird Keeper 7,Bird Keeper - Route 14 (Blue)
748,3,4,Bird Keeper 6,Bird Keeper - Route 14 (Yellow)
751,3,4,Bird Keeper 9,Bird Keeper - Route 14 (Yellow)
393,1,4,Bird Keeper 7,Bird Keeper - Route 14 (Red)
749,3,4,Bird Keeper 7,Bird Keeper - Route 14 (Yellow)
753,3,4,Bird Keeper 11,Bird Keeper - Route 15 (Yellow)
35,2,4,Bird Keeper 5,Bird Keeper - Route 14 (Blue)
41,2,4,Bird Keeper 11,Bird Keeper - Route 15 (Blue)
34,2,4,Bird Keeper 4,Bird Keeper - Route 14 (Blue)
745,3,4,Bird Keeper 3,Bird Keeper - Route 13 (Yellow)
36,2,4,Bird Keeper 6,Bird Keeper - Route 14 (Blue)
39,2,4,Bird Keeper 9,Bird Keeper - Route 14 (Blue)
399,1,4,Bird Keeper 13,Bird Keeper - Route 18 (Red)
755,3,4,Bird Keeper 13,Bird Keeper - Route 18 (Yellow)
757,3,4,Bird Keeper 15,Bird Keeper - Route 20 (Yellow)
398,1,4,Bird Keeper 12,Bird Keeper - Route 18 (Red)
31,2,4,Bird Keeper 1,Bird Keeper - Route 13 (Blue)
744,3,4,Bird Keeper 2,Bird Keeper - Route 13 (Yellow)
752,3,4,Bird Keeper 10,Bird Keeper - Route 15 (Yellow)
746,3,4,Bird Keeper 4,Bird Keeper - Route 14 (Yellow)
392,1,4,Bird Keeper 6,Bird Keeper - Route 14 (Red)
750,3,4,Bird Keeper 8,Bird Keeper - Route 14 (Yellow)
395,1,4,Bird Keeper 9,Bird Keeper - Route 14 (Red)
47,2,5,Blackbelt 2,Blackbelt - Fighting Dojo (Blue)
766,3,5,Blackbelt 9,Blackbelt - Victory Road – 2F (Yellow)
762,3,5,Blackbelt 5,Blackbelt - Fighting Dojo (Yellow)
403,1,5,Blackbelt 2,Blackbelt - Fighting Dojo (Red)
406,1,5,Blackbelt 5,Blackbelt - Fighting Dojo (Red)
50,2,5,Blackbelt 5,Blackbelt - Fighting Dojo (Blue)
404,1,5,Blackbelt 3,Blackbelt - Fighting Dojo (Red)
758,3,5,Blackbelt 1,Blackbelt - Fighting Dojo (Yellow)
764,3,5,Blackbelt 7,Blackbelt - Viridian City (Yellow)
53,2,5,Blackbelt 8,Blackbelt - Viridian City (Blue)
51,2,5,Blackbelt 6,Blackbelt - Viridian City (Blue)
759,3,5,Blackbelt 2,Blackbelt - Fighting Dojo (Yellow)
760,3,5,Blackbelt 3,Blackbelt - Fighting Dojo (Yellow)
52,2,5,Blackbelt 7,Blackbelt - Viridian City (Blue)
48,2,5,Blackbelt 3,Blackbelt - Fighting Dojo (Blue)
763,3,5,Blackbelt 6,Blackbelt - Viridian City (Yellow)
410,1,5,Blackbelt 9,Blackbelt - Victory Road – 2F (Red)
54,2,5,Blackbelt 9,Blackbelt - Victory Road – 2F (Blue)
402,1,5,Blackbelt 1,Blackbelt - Fighting Dojo (Red)
49,2,5,Blackbelt 4,Blackbelt - Fighting Dojo (Blue)
405,1,5,Blackbelt 4,Blackbelt - Fighting Dojo (Red)
761,3,5,Blackbelt 4,Blackbelt - Fighting Dojo (Yellow)
407,1,5,Blackbelt 6,Blackbelt - Viridian City (Red)
765,3,5,Blackbelt 8,Blackbelt - Viridian City (Yellow)
409,1,5,Blackbelt 8,Blackbelt - Viridian City (Red)
408,1,5,Blackbelt 7,Blackbelt - Viridian City (Red)
46,2,5,Blackbelt 1,Blackbelt - Fighting Dojo (Blue)
55,2,6,Blaine,Blaine - Cinnabar Island (Blue)
767,3,6,Blaine,Blaine - Cinnabar Island (Yellow)
411,1,6,Blaine,Blaine - Cinnabar Island (Red)
56,2,7,Brock,Brock - Pewter City (Blue)
768,3,7,Brock,Brock - Pewter City (Yellow)
412,1,7,Brock,Brock - Pewter City (Red)
413,1,8,Bruno,Bruno - Indigo Plateau (Red)
57,2,8,Bruno,Bruno - Indigo Plateau (Blue)
769,3,8,Bruno,Bruno - Indigo Plateau (Yellow)
782,3,9,Bug Catcher 13,Bug Catcher - Route 9 (Yellow)
69,2,9,Bug Catcher 12,Bug Catcher - Route 9 (Blue)
771,3,9,Bug Catcher 2,Bug Catcher - Viridian Forest (Yellow)
777,3,9,Bug Catcher 8,Bug Catcher - Mt. Moon - 1F (Yellow)
772,3,9,Bug Catcher 3,Bug Catcher - Viridian Forest (Yellow)
773,3,9,Bug Catcher 4,Bug Catcher - Viridian Forest (Yellow)
66,2,9,Bug Catcher 9,Bug Catcher - Route 24 (Blue)
68,2,9,Bug Catcher 11,Bug Catcher - Route 6 (Blue)
423,1,9,Bug Catcher 10,Bug Catcher - Route 6 (Red)
418,1,9,Bug Catcher 5,Bug Catcher - Route 3 (Red)
415,1,9,Bug Catcher 2,Bug Catcher - Viridian Forest (Red)
63,2,9,Bug Catcher 6,Bug Catcher - Route 3 (Blue)
60,2,9,Bug Catcher 3,Bug Catcher - Viridian Forest (Blue)
58,2,9,Bug Catcher 1,Bug Catcher - Viridian Forest (Blue)
424,1,9,Bug Catcher 11,Bug Catcher - Route 6 (Red)
781,3,9,Bug Catcher 12,Bug Catcher - Route 6 (Yellow)
61,2,9,Bug Catcher 4,Bug Catcher - Route 3 (Blue)
414,1,9,Bug Catcher 1,Bug Catcher - Viridian Forest (Red)
770,3,9,Bug Catcher 1,Bug Catcher - Viridian Forest (Yellow)
783,3,9,Bug Catcher 14,Bug Catcher - Route 9 (Yellow)
419,1,9,Bug Catcher 6,Bug Catcher - Route 3 (Red)
70,2,9,Bug Catcher 13,Bug Catcher - Route 9 (Blue)
774,3,9,Bug Catcher 5,Bug Catcher - Route 3 (Yellow)
59,2,9,Bug Catcher 2,Bug Catcher - Viridian Forest (Blue)
416,1,9,Bug Catcher 3,Bug Catcher - Viridian Forest (Red)
780,3,9,Bug Catcher 11,Bug Catcher - Route 6 (Yellow)
422,1,9,Bug Catcher 9,Bug Catcher - Route 24 (Red)
425,1,9,Bug Catcher 12,Bug Catcher - Route 9 (Red)
62,2,9,Bug Catcher 5,Bug Catcher - Route 3 (Blue)
778,3,9,Bug Catcher 9,Bug Catcher - Mt. Moon - 1F (Yellow)
420,1,9,Bug Catcher 7,Bug Catcher - Mt. Moon - 1F (Red)
417,1,9,Bug Catcher 4,Bug Catcher - Route 3 (Red)
65,2,9,Bug Catcher 8,Bug Catcher - Mt. Moon - 1F (Blue)
64,2,9,Bug Catcher 7,Bug Catcher - Mt. Moon - 1F (Blue)
775,3,9,Bug Catcher 6,Bug Catcher - Route 3 (Yellow)
426,1,9,Bug Catcher 13,Bug Catcher - Route 9 (Red)
776,3,9,Bug Catcher 7,Bug Catcher - Route 3 (Yellow)
779,3,9,Bug Catcher 10,Bug Catcher - Route 24 (Yellow)
421,1,9,Bug Catcher 8,Bug Catcher - Mt. Moon - 1F (Red)
67,2,9,Bug Catcher 10,Bug Catcher - Route 6 (Blue)
785,3,10,Burglar 2,Burglar - Pokemon Mansion - 2F (Yellow)
71,2,10,Burglar 1,Burglar - Pokemon Mansion - 3F (Blue)
786,3,10,Burglar 3,Burglar - Pokemon Mansion - B1F (Yellow)
76,2,10,Burglar 6,Burglar - Cinnabar Island (Blue)
784,3,10,Burglar 1,Burglar - Pokemon Mansion - 3F (Yellow)
72,2,10,Burglar 2,Burglar - Pokemon Mansion - 2F (Blue)
74,2,10,Burglar 4,Burglar - Cinnabar Island (Blue)
430,1,10,Burglar 4,Burglar - Cinnabar Island (Red)
789,3,10,Burglar 6,Burglar - Cinnabar Island (Yellow)
73,2,10,Burglar 3,Burglar - Pokemon Mansion - B1F (Blue)
429,1,10,Burglar 3,Burglar - Pokemon Mansion - B1F (Red)
428,1,10,Burglar 2,Burglar - Pokemon Mansion - 2F (Red)
787,3,10,Burglar 4,Burglar - Cinnabar Island (Yellow)
75,2,10,Burglar 5,Burglar - Cinnabar Island (Blue)
432,1,10,Burglar 6,Burglar - Cinnabar Island (Red)
788,3,10,Burglar 5,Burglar - Cinnabar Island (Yellow)
431,1,10,Burglar 5,Burglar - Cinnabar Island (Red)
427,1,10,Burglar 1,Burglar - Pokemon Mansion - 3F (Red)
801,3,11,Channeler 12,Channeler - Pokemon Tower - 6F (Yellow)
77,2,11,Channeler 1,Channeler - Pokemon Tower - 3F (Blue)
794,3,11,Channeler 5,Channeler - Pokemon Tower - 4F (Yellow)
85,2,11,Channeler 9,Channeler - Pokemon Tower - 5F (Blue)
805,3,11,Channeler 16,Channeler - Saffron City (Yellow)
800,3,11,Channeler 11,Channeler - Pokemon Tower - 6F (Yellow)
795,3,11,Channeler 6,Channeler - Pokemon Tower - 4F (Yellow)
88,2,11,Channeler 12,Channeler - Pokemon Tower - 6F (Blue)
86,2,11,Channeler 10,Channeler - Pokemon Tower - 5F (Blue)
435,1,11,Channeler 3,Channeler - Pokemon Tower - 3F (Red)
79,2,11,Channeler 3,Channeler - Pokemon Tower - 3F (Blue)
791,3,11,Channeler 2,Channeler - Pokemon Tower - 3F (Yellow)
446,1,11,Channeler 14,Channeler - Saffron City (Red)
792,3,11,Channeler 3,Channeler - Pokemon Tower - 3F (Yellow)
436,1,11,Channeler 4,Channeler - Pokemon Tower - 4F (Red)
437,1,11,Channeler 5,Channeler - Pokemon Tower - 4F (Red)
441,1,11,Channeler 9,Channeler - Pokemon Tower - 5F (Red)
89,2,11,Channeler 13,Channeler - Pokemon Tower - 6F (Blue)
444,1,11,Channeler 12,Channeler - Pokemon Tower - 6F (Red)
797,3,11,Channeler 8,Channeler - Pokemon Tower - 5F (Yellow)
90,2,11,Channeler 14,Channeler - Saffron City (Blue)
798,3,11,Channeler 9,Channeler - Pokemon Tower - 5F (Yellow)
802,3,11,Channeler 13,Channeler - Pokemon Tower - 6F (Yellow)
440,1,11,Channeler 8,Channeler - Pokemon Tower - 5F (Red)
92,2,11,Channeler 16,Channeler - Saffron City (Blue)
438,1,11,Channeler 6,Channeler - Pokemon Tower - 4F (Red)
83,2,11,Channeler 7,Channeler - Pokemon Tower - 5F (Blue)
448,1,11,Channeler 16,Channeler - Saffron City (Red)
80,2,11,Channeler 4,Channeler - Pokemon Tower - 4F (Blue)
78,2,11,Channeler 2,Channeler - Pokemon Tower - 3F (Blue)
81,2,11,Channeler 5,Channeler - Pokemon Tower - 4F (Blue)
796,3,11,Channeler 7,Channeler - Pokemon Tower - 5F (Yellow)
803,3,11,Channeler 14,Channeler - Saffron City (Yellow)
84,2,11,Channeler 8,Channeler - Pokemon Tower - 5F (Blue)
790,3,11,Channeler 1,Channeler - Pokemon Tower - 3F (Yellow)
439,1,11,Channeler 7,Channeler - Pokemon Tower - 5F (Red)
445,1,11,Channeler 13,Channeler - Pokemon Tower - 6F (Red)
443,1,11,Channeler 11,Channeler - Pokemon Tower - 6F (Red)
799,3,11,Channeler 10,Channeler - Pokemon Tower - 5F (Yellow)
793,3,11,Channeler 4,Channeler - Pokemon Tower - 4F (Yellow)
82,2,11,Channeler 6,Channeler - Pokemon Tower - 4F (Blue)
442,1,11,Channeler 10,Channeler - Pokemon Tower - 5F (Red)
447,1,11,Channeler 15,Channeler - Saffron City (Red)
434,1,11,Channeler 2,Channeler - Pokemon Tower - 3F (Red)
87,2,11,Channeler 11,Channeler - Pokemon Tower - 6F (Blue)
433,1,11,Channeler 1,Channeler - Pokemon Tower - 3F (Red)
91,2,11,Channeler 15,Channeler - Saffron City (Blue)
804,3,11,Channeler 15,Channeler - Saffron City (Yellow)
451,1,12,Cooltrainer F 3,Cooltrainer F - Victory Road – 3F (Red)
96,2,12,Cooltrainer F 4,Cooltrainer F - Victory Road – 3F (Blue)
809,3,12,Cooltrainer F 4,Cooltrainer F - Victory Road – 3F (Yellow)
806,3,12,Cooltrainer F 1,Cooltrainer F - Celadon City (Yellow)
95,2,12,Cooltrainer F 3,Cooltrainer F - Victory Road – 3F (Blue)
94,2,12,Cooltrainer F 2,Cooltrainer F - Victory Road – 1F (Blue)
449,1,12,Cooltrainer F 1,Cooltrainer F - Celadon City (Red)
808,3,12,Cooltrainer F 3,Cooltrainer F - Victory Road – 3F (Yellow)
450,1,12,Cooltrainer F 2,Cooltrainer F - Victory Road – 1F (Red)
807,3,12,Cooltrainer F 2,Cooltrainer F - Victory Road – 1F (Yellow)
93,2,12,Cooltrainer F 1,Cooltrainer F - Celadon City (Blue)
452,1,12,Cooltrainer F 4,Cooltrainer F - Victory Road – 3F (Red)
102,2,13,Cooltrainer M 6,Cooltrainer M - Victory Road – 3F (Blue)
456,1,13,Cooltrainer M 4,Cooltrainer M - Victory Road – 1F (Red)
458,1,13,Cooltrainer M 6,Cooltrainer M - Victory Road – 3F (Red)
98,2,13,Cooltrainer M 2,Cooltrainer M - Viridian City (Blue)
811,3,13,Cooltrainer M 2,Cooltrainer M - Viridian City (Yellow)
457,1,13,Cooltrainer M 5,Cooltrainer M - Victory Road – 3F (Red)
101,2,13,Cooltrainer M 5,Cooltrainer M - Victory Road – 3F (Blue)
812,3,13,Cooltrainer M 3,Cooltrainer M - Viridian City (Yellow)
813,3,13,Cooltrainer M 4,Cooltrainer M - Victory Road – 1F (Yellow)
97,2,13,Cooltrainer M 1,Cooltrainer M - Viridian City (Blue)
100,2,13,Cooltrainer M 4,Cooltrainer M - Victory Road – 1F (Blue)
454,1,13,Cooltrainer M 2,Cooltrainer M - Viridian City (Red)
453,1,13,Cooltrainer M 1,Cooltrainer M - Viridian City (Red)
815,3,13,Cooltrainer M 6,Cooltrainer M - Victory Road – 3F (Yellow)
455,1,13,Cooltrainer M 3,Cooltrainer M - Viridian City (Red)
814,3,13,Cooltrainer M 5,Cooltrainer M - Victory Road – 3F (Yellow)
99,2,13,Cooltrainer M 3,Cooltrainer M - Viridian City (Blue)
810,3,13,Cooltrainer M 1,Cooltrainer M - Viridian City (Yellow)
464,1,14,Cue Ball 6,Cue Ball - Route 17 (Red)
823,3,14,Cue Ball 8,Cue Ball - Route 17 (Yellow)
105,2,14,Cue Ball 3,Cue Ball - Route 16 (Blue)
111,2,14,Cue Ball 9,Cue Ball - Route 21 (Blue)
820,3,14,Cue Ball 5,Cue Ball - Route 17 (Yellow)
821,3,14,Cue Ball 6,Cue Ball - Route 17 (Yellow)
108,2,14,Cue Ball 6,Cue Ball - Route 17 (Blue)
462,1,14,Cue Ball 4,Cue Ball - Route 17 (Red)
465,1,14,Cue Ball 7,Cue Ball - Route 17 (Red)
103,2,14,Cue Ball 1,Cue Ball - Route 16 (Blue)
467,1,14,Cue Ball 9,Cue Ball - Route 21 (Red)
107,2,14,Cue Ball 5,Cue Ball - Route 17 (Blue)
461,1,14,Cue Ball 3,Cue Ball - Route 16 (Red)
109,2,14,Cue Ball 7,Cue Ball - Route 17 (Blue)
110,2,14,Cue Ball 8,Cue Ball - Route 17 (Blue)
459,1,14,Cue Ball 1,Cue Ball - Route 16 (Red)
817,3,14,Cue Ball 2,Cue Ball - Route 16 (Yellow)
819,3,14,Cue Ball 4,Cue Ball - Route 17 (Yellow)
818,3,14,Cue Ball 3,Cue Ball - Route 16 (Yellow)
466,1,14,Cue Ball 8,Cue Ball - Route 17 (Red)
463,1,14,Cue Ball 5,Cue Ball - Route 17 (Red)
106,2,14,Cue Ball 4,Cue Ball - Route 17 (Blue)
824,3,14,Cue Ball 9,Cue Ball - Route 21 (Yellow)
816,3,14,Cue Ball 1,Cue Ball - Route 16 (Yellow)
822,3,14,Cue Ball 7,Cue Ball - Route 17 (Yellow)
104,2,14,Cue Ball 2,Cue Ball - Route 16 (Blue)
460,1,14,Cue Ball 2,Cue Ball - Route 16 (Red)
468,1,15,Engineer 1,Engineer - Route 11 (Red)
469,1,15,Engineer 2,Engineer - Route 11 (Red)
826,3,15,Engineer 2,Engineer - Route 11 (Yellow)
825,3,15,Engineer 1,Engineer - Route 11 (Yellow)
113,2,15,Engineer 2,Engineer - Route 11 (Blue)
112,2,15,Engineer 1,Engineer - Route 11 (Blue)
114,2,16,Erika,Erika - Celadon City (Blue)
827,3,16,Erika,Erika - Celadon City (Yellow)
470,1,16,Erika,Erika - Celadon City (Red)
474,1,17,Fisherman 4,Fisherman - Route 12 (Red)
473,1,17,Fisherman 3,Fisherman - Route 12 (Red)
116,2,17,Fisherman 2,Fisherman - S.S. Anne - 2F (Blue)
480,1,17,Fisherman 10,Fisherman - Route 21 (Red)
119,2,17,Fisherman 5,Fisherman - Route 12 (Blue)
829,3,17,Fisherman 2,Fisherman - S.S. Anne - 2F (Yellow)
125,2,17,Fisherman 11,Fisherman - Route 21 (Blue)
123,2,17,Fisherman 9,Fisherman - Route 21 (Blue)
477,1,17,Fisherman 7,Fisherman - Route 12 (Red)
834,3,17,Fisherman 7,Fisherman - Route 12 (Yellow)
124,2,17,Fisherman 10,Fisherman - Route 21 (Blue)
472,1,17,Fisherman 2,Fisherman - S.S. Anne - 2F (Red)
475,1,17,Fisherman 5,Fisherman - Route 12 (Red)
831,3,17,Fisherman 4,Fisherman - Route 12 (Yellow)
117,2,17,Fisherman 3,Fisherman - Route 12 (Blue)
120,2,17,Fisherman 6,Fisherman - Route 12 (Blue)
837,3,17,Fisherman 10,Fisherman - Route 21 (Yellow)
836,3,17,Fisherman 9,Fisherman - Route 21 (Yellow)
471,1,17,Fisherman 1,Fisherman - S.S. Anne - B1F (Red)
479,1,17,Fisherman 9,Fisherman - Route 21 (Red)
115,2,17,Fisherman 1,Fisherman - S.S. Anne - B1F (Blue)
835,3,17,Fisherman 8,Fisherman - Route 21 (Yellow)
830,3,17,Fisherman 3,Fisherman - Route 12 (Yellow)
476,1,17,Fisherman 6,Fisherman - Route 12 (Red)
122,2,17,Fisherman 8,Fisherman - Route 21 (Blue)
833,3,17,Fisherman 6,Fisherman - Route 12 (Yellow)
832,3,17,Fisherman 5,Fisherman - Route 12 (Yellow)
478,1,17,Fisherman 8,Fisherman - Route 21 (Red)
118,2,17,Fisherman 4,Fisherman - Route 12 (Blue)
828,3,17,Fisherman 1,Fisherman - S.S. Anne - B1F (Yellow)
121,2,17,Fisherman 7,Fisherman - Route 12 (Blue)
838,3,17,Fisherman 11,Fisherman - Route 21 (Yellow)
481,1,17,Fisherman 11,Fisherman - Route 21 (Red)
841,3,18,Gambler 3,Gambler - Route 11 (Yellow)
127,2,18,Gambler 2,Gambler - Route 11 (Blue)
844,3,18,Gambler 6,Gambler - Route 8 (Yellow)
840,3,18,Gambler 2,Gambler - Route 11 (Yellow)
130,2,18,Gambler 5,Gambler - Route 8 (Blue)
128,2,18,Gambler 3,Gambler - Route 11 (Blue)
486,1,18,Gambler 5,Gambler - Route 8 (Red)
129,2,18,Gambler 4,Gambler - Route 11 (Blue)
484,1,18,Gambler 3,Gambler - Route 11 (Red)
842,3,18,Gambler 4,Gambler - Route 11 (Yellow)
131,2,18,Gambler 6,Gambler - Route 8 (Blue)
482,1,18,Gambler 1,Gambler - Route 11 (Red)
487,1,18,Gambler 6,Gambler - Route 8 (Red)
483,1,18,Gambler 2,Gambler - Route 11 (Red)
839,3,18,Gambler 1,Gambler - Route 11 (Yellow)
843,3,18,Gambler 5,Gambler - Route 8 (Yellow)
126,2,18,Gambler 1,Gambler - Route 11 (Blue)
485,1,18,Gambler 4,Gambler - Route 11 (Red)
491,1,19,Gentleman 4,Gentleman - S.S. Anne - 2F (Red)
489,1,19,Gentleman 2,Gentleman - S.S. Anne - 1F (Red)
847,3,19,Gentleman 3,Gentleman - S.S. Anne - 2F (Yellow)
133,2,19,Gentleman 2,Gentleman - S.S. Anne - 1F (Blue)
848,3,19,Gentleman 4,Gentleman - S.S. Anne - 2F (Yellow)
